dateTime,open,high,low,close
2019-01-16T09:15:59,1488.7,1490,1485.35,1489.5
2019-01-16T09:16:59,1489.6,1490.6,1487.2,1489.6
2019-01-16T09:17:59,1489.95,1491.15,1489.45,1491.15
2019-01-16T09:18:59,1491.15,1492.95,1490,1492.75
2019-01-16T09:19:59,1491.5,1494,1491.5,1492.5
2019-01-16T09:20:59,1492,1493.45,1491.5,1491.8
2019-01-16T09:21:59,1491.8,1494,1491,1493
2019-01-16T09:22:59,1494,1496.7,1494,1496.35
2019-01-16T09:23:59,1496.35,1497.5,1495.3,1497.5
2019-01-16T09:24:59,1496.65,1498.3,1496.65,1497.15
2019-01-16T09:25:59,1498.3,1498.95,1497.2,1497.75
2019-01-16T09:26:59,1497.7,1497.7,1495.8,1496.05
2019-01-16T09:27:59,1496.05,1496.65,1495.2,1496.65
2019-01-16T09:28:59,1495.4,1497,1495.2,1496.05
2019-01-16T09:29:59,1496.05,1496.95,1496,1496.4
2019-01-16T09:30:59,1496.4,1499,1496.4,1498.75
2019-01-16T09:31:59,1498.75,1498.75,1497.2,1497.45
2019-01-16T09:32:59,1497.45,1497.75,1497,1497
2019-01-16T09:33:59,1497,1497.65,1496,1496
2019-01-16T09:34:59,1496,1497,1495.35,1495.75
2019-01-16T09:35:59,1495.75,1497.15,1495.3,1495.3
2019-01-16T09:36:59,1495.4,1496.7,1495.15,1496.7
2019-01-16T09:37:59,1496,1497,1495.9,1497
2019-01-16T09:38:59,1497,1497,1495.9,1496.45
2019-01-16T09:39:59,1496.4,1496.4,1495,1495
2019-01-16T09:40:59,1495.5,1495.5,1494.25,1494.8
2019-01-16T09:41:59,1494.8,1495.1,1494.15,1495
2019-01-16T09:42:59,1495,1495,1494.15,1495
2019-01-16T09:43:59,1495,1495,1494,1494.05
2019-01-16T09:44:59,1494.05,1495,1494.05,1495
2019-01-16T09:45:59,1495,1496.4,1494.6,1496
2019-01-16T09:46:59,1496,1497.95,1496,1497
2019-01-16T09:47:59,1497,1497.35,1496.05,1497
2019-01-16T09:48:59,1497,1497.35,1496,1496
2019-01-16T09:49:59,1496,1496,1495,1495
2019-01-16T09:50:59,1495,1495.5,1493.55,1495.5
2019-01-16T09:51:59,1495.5,1495.7,1495.5,1495.7
2019-01-16T09:52:59,1495.7,1495.8,1495.15,1495.65
2019-01-16T09:53:59,1495.65,1496.75,1494.95,1496.75
2019-01-16T09:54:59,1496.75,1497,1496.75,1497
2019-01-16T09:55:59,1497,1497.1,1495.25,1496.4
2019-01-16T09:56:59,1496.4,1496.4,1495.1,1495.3
2019-01-16T09:57:59,1495.3,1496.1,1495.25,1496.1
2019-01-16T09:58:59,1496.1,1498.8,1495.55,1498.8
2019-01-16T09:59:59,1498.9,1498.9,1498,1498.1
2019-01-16T10:00:59,1498.1,1501.8,1498.1,1501
2019-01-16T10:01:59,1500.95,1502.95,1499.1,1502.95
2019-01-16T10:02:59,1503,1503,1501.6,1502.85
2019-01-16T10:03:59,1502.85,1502.95,1500.35,1501.3
2019-01-16T10:04:59,1501.3,1502.35,1501,1501.4
2019-01-16T10:05:59,1501.4,1502.35,1501.4,1501.5
2019-01-16T10:06:59,1501.4,1502.6,1501.2,1502.4
2019-01-16T10:07:59,1502.4,1502.55,1501,1501
2019-01-16T10:08:59,1501.5,1501.8,1499.6,1500
2019-01-16T10:09:59,1500,1501.3,1498.95,1501.3
2019-01-16T10:10:59,1501.3,1501.9,1501,1501.7
2019-01-16T10:11:59,1502,1502,1501,1501
2019-01-16T10:12:59,1501.45,1501.45,1500.5,1500.5
2019-01-16T10:13:59,1500.5,1500.5,1498.65,1498.65
